ksss;competitor;segment
133567;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в радиусе 30км ;0,9
133344;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1
133345;Наличие АЗС только с магазином  или отдельных стоячего магазина в радиусе 30км.;0
133347;Наличие объектов общественного питания в шаговой доступности от АЗС;0,9
133348;Наличие объектов общественного питания в шаговой доступности от АЗС;0,9
133349;Наличие объектов общественного питания в шаговой доступности от АЗС;0
133351;Наличие объектов общественного питания в шаговой доступности от АЗС;0
133353;Наличие объектов общественного питания в шаговой доступности от АЗС;0,9
133206;Наличие объектов общественного питания в шаговой доступности от АЗС;0,9
133207;Наличие объектов общественного питания в шаговой доступности от АЗС;0
133208;Наличие АЗС только с магазином  или отдельных стоячего магазина в радиусе 30км.;1
133402;Наличие объектов общественного питания в шаговой доступности от АЗС;0
133210;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;0,9
133519;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;0,9
133211;Наличие объектов общественного питания в шаговой доступности от АЗС;0
133212;Наличие АЗС только с магазином  или отдельных стоячего магазина в радиусе 30км.;1
133434;Наличие объектов общественного питания в шаговой доступности от АЗС;1
133214;Наличие объектов общественного питания в шаговой доступности от АЗС;0
133215;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;0
133216;Наличие объектов общественного питания в шаговой доступности от АЗС;0
133335;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;0,9
3545;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в радиусе 30км ;1
3544;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в радиусе 30км ;0,9
3543;Наличие объектов общественного питания в шаговой доступности от АЗС;0
3542;Наличие АЗС только с магазином  или отдельных стоячего магазина в радиусе 30км.;0
2880;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в радиусе 30км ;0,9
2602;Наличие объектов общественного питания в шаговой доступности от АЗС;0
2604;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1
2603;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в радиусе 30км ;0,9
2606;Наличие объектов общественного питания в шаговой доступности от АЗС;0
2608;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в шаговой доступности от АЗС ;0,9
2874;Нет конкурентов ;0
2875;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в радиусе 30км ;0
2877;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в радиусе 30км ;0,9
3511;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в радиусе 30км ;0
3596;Нет конкурентов ;0
3817;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в радиусе 30км ;0
3818;Нет конкурентов ;0,9
3831;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;0,9
3821;Нет конкурентов ;0
3819;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в радиусе 30км ;0,9
3832;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;0,9
4215;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;0,9
6482;Нет конкурентов ;0
6481;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;0
6480;Нет конкурентов ;0
112401;Нет конкурентов ;0
133378;Нет конкурентов ;1
133268;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в шаговой доступности от АЗС ;1
133278;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в радиусе 30км ;0
133286;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в радиусе 30км ;1
133301;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в шаговой доступности от АЗС ;1
133511;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в шаговой доступности от АЗС ;0
133321;Наличие объектов общественного питания в шаговой доступности от АЗС;1
133328;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в радиусе 30км ;0
133379;Наличие АЗС только с магазином  или отдельных стоячего магазина в радиусе 30км.;1,1
133227;Наличие объектов общественного питания в шаговой доступности от АЗС;0
133235;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в радиусе 30км ;1
133245;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в радиусе 30км ;1
133248;Наличие объектов общественного питания в шаговой доступности от АЗС;0,9
133577;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в радиусе 30км ;1
133506;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в радиусе 30км ;1
133266;Наличие объектов общественного питания в шаговой доступности от АЗС;1
133267;Нет конкурентов ;0
133509;Наличие объектов общественного питания в шаговой доступности от АЗС;1
133269;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в радиусе 30км ;1
133270;Наличие объектов общественного питания в шаговой доступности от АЗС;0,9
133271;Наличие объектов общественного питания в шаговой доступности от АЗС;0
133272;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в радиусе 30км ;0,9
133273;Наличие объектов общественного питания в шаговой доступности от АЗС;1
133501;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в радиусе 30км ;0,9
133274;Наличие объектов общественного питания в шаговой доступности от АЗС;1
133275;Наличие АЗС только с магазином  или отдельных стоячего магазина в радиусе 30км.;1
133276;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1
133277;Наличие объектов общественного питания в шаговой доступности от АЗС;0
133279;Наличие объектов общественного питания в шаговой доступности от АЗС;0,9
133507;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в шаговой доступности от АЗС ;1
133280;Наличие объектов общественного питания в шаговой доступности от АЗС;0
133508;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в шаговой доступности от АЗС ;1
133281;Наличие АЗС только с магазином  или отдельных стоячего магазина в радиусе 30км.;0
133282;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;0,9
133283;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в радиусе 30км ;0
133284;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;0
133285;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1
133536;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в радиусе 30км ;1,1
133287;Наличие объектов общественного питания в шаговой доступности от АЗС;1
133288;Наличие объектов общественного питания в шаговой доступности от АЗС;1
133289;Наличие объектов общественного питания в шаговой доступности от АЗС;0
133291;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в шаговой доступности от АЗС ;0
133296;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в радиусе 30км ;1
133298;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в шаговой доступности от АЗС ;1
133299;Наличие объектов общественного питания в шаговой доступности от АЗС;0
133300;Наличие объектов общественного питания в шаговой доступности от АЗС;0
133302;Наличие объектов общественного питания в шаговой доступности от АЗС;0
133303;Нет конкурентов ;0
133304;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1
133305;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1
133306;Наличие объектов общественного питания в шаговой доступности от АЗС;1
133527;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
133308;Наличие объектов общественного питания в шаговой доступности от АЗС;0
133309;Нет конкурентов ;0,9
133538;Нет конкурентов ;0
133310;Наличие объектов общественного питания в шаговой доступности от АЗС;0
133311;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
133312;Нет конкурентов ;0
133313;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;0
133314;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;0
133315;Наличие объектов общественного питания в шаговой доступности от АЗС;0
133316;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в радиусе 30км ;1
133317;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в шаговой доступности от АЗС ;0
133510;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в радиусе 30км ;1
133573;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в шаговой доступности от АЗС ;1
133318;Наличие объектов общественного питания в шаговой доступности от АЗС;1
133319;Наличие объектов общественного питания в шаговой доступности от АЗС;1
133320;Наличие АЗС только с магазином  или отдельных стоячего магазина в радиусе 30км.;0
133572;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
133322;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
133323;Наличие АЗС только с магазином  или отдельных стоячего магазина в радиусе 30км.;0
133324;Нет конкурентов ;0
133325;Наличие объектов общественного питания в шаговой доступности от АЗС;0
133326;Наличие объектов общественного питания в шаговой доступности от АЗС;1
133327;Наличие АЗС только с магазином  или отдельных стоячего магазина в радиусе 30км.;1
133575;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
133330;Нет конкурентов ;0
133331;Нет конкурентов ;1
133332;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1
133222;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1
133380;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1
133381;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;0
133574;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в радиусе 30км ;1,1
133225;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1
133226;Нет конкурентов ;0
133228;Наличие АЗС только с магазином  или отдельных стоячего магазина в радиусе 30км.;1
133229;Наличие объектов общественного питания в шаговой доступности от АЗС;1
133230;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в радиусе 30км ;0
133231;Наличие объектов общественного питания в шаговой доступности от АЗС;0
133232;Наличие объектов общественного питания в шаговой доступности от АЗС;1
133233;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в шаговой доступности от АЗС ;1
133237;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;0
133238;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в радиусе 30км ;1
133239;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в радиусе 30км ;0
133240;Наличие объектов общественного питания в шаговой доступности от АЗС;1
133241;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в радиусе 30км ;1
133242;Нет конкурентов ;1
133243;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в шаговой доступности от АЗС ;1
133244;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
133387;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
133246;Наличие АЗС только с магазином  или отдельных стоячего магазина в радиусе 30км.;0
133551;Нет конкурентов ;0
133560;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в шаговой доступности от АЗС ;0
133578;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в шаговой доступности от АЗС ;0
133552;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в радиусе 30км ;0
133579;Наличие объектов общественного питания в шаговой доступности от АЗС;0
133223;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;0
133333;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;0
133249;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в радиусе 30км ;1
133250;Наличие объектов общественного питания в шаговой доступности от АЗС;1
133251;Нет конкурентов ;0
133252;Наличие объектов общественного питания в шаговой доступности от АЗС;1
133253;Нет конкурентов ;1
133254;Нет конкурентов ;0
133256;Наличие объектов общественного питания в шаговой доступности от АЗС;1
133257;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в шаговой доступности от АЗС ;0
133258;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в шаговой доступности от АЗС ;0
133259;Наличие АЗС только с магазином  или отдельных стоячего магазина в радиусе 30км.;0
133260;Наличие объектов общественного питания в шаговой доступности от АЗС;1
133262;Наличие объектов общественного питания в шаговой доступности от АЗС;1
133263;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в шаговой доступности от АЗС ;0
133264;Нет конкурентов ;0
133265;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1
133388;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в шаговой доступности от АЗС ;1
2707;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
2709;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1
2711;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в радиусе 30км ;0
2713;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в шаговой доступности от АЗС ;0
2715;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
2717;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
2722;Наличие объектов общественного питания в шаговой доступности от АЗС;0
2726;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в шаговой доступности от АЗС ;0
2729;Наличие объектов общественного питания в шаговой доступности от АЗС;1
2735;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в радиусе 30км ;0
2736;Наличие объектов общественного питания в шаговой доступности от АЗС;1
2738;Наличие объектов общественного питания в шаговой доступности от АЗС;0
2740;Наличие объектов общественного питания в шаговой доступности от АЗС;1
2741;Наличие объектов общественного питания в шаговой доступности от АЗС;0
2743;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;0
2745;Наличие объектов общественного питания в шаговой доступности от АЗС;0
2747;Наличие объектов общественного питания в шаговой доступности от АЗС;0
2749;Наличие объектов общественного питания в шаговой доступности от АЗС;0
2750;Наличие объектов общественного питания в шаговой доступности от АЗС;1
2789;Наличие объектов общественного питания в шаговой доступности от АЗС;1
2646;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в радиусе 30км ;1
2648;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1
2649;Наличие объектов общественного питания в шаговой доступности от АЗС;0
2651;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в радиусе 30км ;1
2654;Наличие АЗС только с магазином  или отдельных стоячего магазина в радиусе 30км.;1,1
2660;Наличие АЗС только с магазином  или отдельных стоячего магазина в радиусе 30км.;0
2662;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1
2876;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в радиусе 30км ;0
3495;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в радиусе 30км ;0
3659;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в радиусе 30км ;0
3658;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в радиусе 30км ;0
3967;Наличие объектов общественного питания в шаговой доступности от АЗС;0
2664;Наличие объектов общественного питания в шаговой доступности от АЗС;1,1
2685;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в радиусе 30км ;1
6479;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1
7324;Наличие объектов общественного питания в шаговой доступности от АЗС;0
6986;Нет конкурентов ;1
8788;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;0
8932;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в радиусе 30км ;1
8935;Наличие объектов общественного питания в шаговой доступности от АЗС;1
8934;Наличие объектов общественного питания в шаговой доступности от АЗС;0
9509;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1
9720;Наличие объектов общественного питания в шаговой доступности от АЗС;1
8933;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в радиусе 30км ;0
9307;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в радиусе 30км ;0
9313;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в шаговой доступности от АЗС ;0
9312;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в шаговой доступности от АЗС ;0
9311;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в радиусе 30км ;0
9316;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в шаговой доступности от АЗС ;1
9315;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в шаговой доступности от АЗС ;1
9314;Наличие объектов общественного питания в шаговой доступности от АЗС;1,1
9317;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в радиусе 30км ;1
9318;Наличие объектов общественного питания в шаговой доступности от АЗС;0
3462;Наличие объектов общественного питания в шаговой доступности от АЗС;1
2612;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в радиусе 30км ;1
2613;Наличие объектов общественного питания в шаговой доступности от АЗС;1,1
2611;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
99602;Наличие объектов общественного питания в шаговой доступности от АЗС;1
2879;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1
2607;Наличие объектов общественного питания в шаговой доступности от АЗС;1
2605;Наличие объектов общественного питания в шаговой доступности от АЗС;1
2668;Наличие объектов общественного питания в шаговой доступности от АЗС;1
3651;Наличие объектов общественного питания в шаговой доступности от АЗС;1,1
3660;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
60002;Наличие объектов общественного питания в шаговой доступности от АЗС;1,1
3955;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1
8958;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
2653;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1
154601;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в радиусе 30км ;1
4121;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в радиусе 30км ;0
6458;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
8996;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в радиусе 30км ;1
9319;Наличие объектов общественного питания в шаговой доступности от АЗС;1
9342;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в радиусе 30км ;1
153201;Нет конкурентов ;1
9354;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
35001;Наличие объектов общественного питания в шаговой доступности от АЗС;1,1
2609;Наличие объектов общественного питания в шаговой доступности от АЗС;1
2610;Наличие объектов общественного питания в шаговой доступности от АЗС;1
2615;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
2614;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
9424;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в радиусе 30км ;0
9530;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в радиусе 30км ;0
9812;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1
39206;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в радиусе 30км ;1
51601;Наличие объектов общественного питания в шаговой доступности от АЗС;1
36002;Наличие объектов общественного питания в шаговой доступности от АЗС;1
49212;Наличие объектов общественного питания в шаговой доступности от АЗС;1
9353;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в шаговой доступности от АЗС ;1
36001;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
39207;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
39208;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
95805;Наличие объектов общественного питания в шаговой доступности от АЗС;1
133452;Наличие объектов общественного питания в шаговой доступности от АЗС;1
133453;Наличие объектов общественного питания в шаговой доступности от АЗС;1
133454;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в радиусе 30км ;1
133455;Наличие объектов общественного питания в шаговой доступности от АЗС;1
133456;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в радиусе 30км ;1
133457;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в радиусе 30км ;1
133458;Наличие объектов общественного питания в шаговой доступности от АЗС;1,1
133487;Наличие объектов общественного питания в шаговой доступности от АЗС;1
133488;Наличие объектов общественного питания в шаговой доступности от АЗС;0
133478;Нет конкурентов ;0
133441;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в шаговой доступности от АЗС ;1
133442;Наличие объектов общественного питания в шаговой доступности от АЗС;0
133443;Наличие объектов общественного питания в шаговой доступности от АЗС;0
133479;Нет конкурентов ;1
133480;Нет конкурентов ;0
133481;Нет конкурентов ;0
133503;Наличие объектов общественного питания в шаговой доступности от АЗС;0
133444;Наличие объектов общественного питания в шаговой доступности от АЗС;1
133493;Наличие объектов общественного питания в шаговой доступности от АЗС;0
133494;Наличие объектов общественного питания в шаговой доступности от АЗС;1
133495;Наличие объектов общественного питания в шаговой доступности от АЗС;0
133436;Наличие объектов общественного питания в шаговой доступности от АЗС;0
133437;Наличие объектов общественного питания в шаговой доступности от АЗС;1
133445;Наличие объектов общественного питания в шаговой доступности от АЗС;0
133438;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в радиусе 30км ;1
133459;Наличие объектов общественного питания в шаговой доступности от АЗС;1
133460;Наличие объектов общественного питания в шаговой доступности от АЗС;1
133461;Наличие объектов общественного питания в шаговой доступности от АЗС;1
133462;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;0
133446;Наличие объектов общественного питания в шаговой доступности от АЗС;0
133463;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;0
133482;Наличие объектов общественного питания в шаговой доступности от АЗС;0
133483;Нет конкурентов ;0
133464;Наличие объектов общественного питания в шаговой доступности от АЗС;0
133496;Наличие объектов общественного питания в шаговой доступности от АЗС;1
133489;Наличие объектов общественного питания в шаговой доступности от АЗС;1
133490;Наличие объектов общественного питания в шаговой доступности от АЗС;1
133484;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
133465;Наличие объектов общественного питания в шаговой доступности от АЗС;1
133447;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в радиусе 30км ;1
133439;Наличие объектов общественного питания в шаговой доступности от АЗС;1
133497;Наличие объектов общественного питания в шаговой доступности от АЗС;0
133448;Наличие объектов общественного питания в шаговой доступности от АЗС;1
133569;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в шаговой доступности от АЗС ;1
133468;Наличие объектов общественного питания в шаговой доступности от АЗС;1
133449;Наличие объектов общественного питания в шаговой доступности от АЗС;0
133498;Наличие объектов общественного питания в шаговой доступности от АЗС;1
133450;Наличие объектов общественного питания в шаговой доступности от АЗС;1,1
133491;Наличие объектов общественного питания в шаговой доступности от АЗС;0
133492;Наличие объектов общественного питания в шаговой доступности от АЗС;1
133485;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
133469;Наличие объектов общественного питания в шаговой доступности от АЗС;1,1
133499;Наличие объектов общественного питания в шаговой доступности от АЗС;0
133451;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в радиусе 30км ;1
133470;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
133440;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в радиусе 30км ;0
133486;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1
133471;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в шаговой доступности от АЗС ;1
133472;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1
133473;Наличие объектов общественного питания в шаговой доступности от АЗС;1
133474;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в шаговой доступности от АЗС ;1
133475;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в шаговой доступности от АЗС ;1
133476;Наличие объектов общественного питания в шаговой доступности от АЗС;1
133477;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в радиусе 30км ;1
64402;Нет конкурентов ;0
2546;Нет конкурентов ;1,1
2548;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1
2549;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
9724;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
36401;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в радиусе 30км ;0
37401;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в радиусе 30км ;0
